content,sentiment
performa game menurun,negative
selalu dikasih tim bodoh,negative
permainan sangat burik,negative
game burik asu,negative
game kontol bikin kesal,negative
game dajal asu fix delete,negative
permainan sampah murahan jancok,negative
jaringan buruk bikin lose streak,negative
sistem buruk tim bodoh,negative
banyak update tidak bermanfaat,negative
update buat pegalaman bermain tidak_menyenangkan,negative
pudate makan kapasitas tidak_guna,negative
pengalaman main kurang nyaman banyak player toxic,negative
magic chess mengalami bug,negative
in game lag,negative
tidak_perbaikan magic chess,negative
tidak_perbaiki magic chess,negative
tidak_update magic chess,negative
tidak_tangani bug magic chess,negative
tidak_tangani bug,negative
sudah semakin parah,negative
permainan makin parah,negative
permainan semakin parah,negative
sering ngadat,negative
sering lag,negative
sering error,negative
jaringan stabil game lag,negative
jaringan stabil permainan lag,negative
Skip sekalian hapus,negative
animasi gambar bikin lag,negative
animasi tampilan login buat lag,negative
animasi tampilan buat lag,negative
berhenti main,negative
berhenti bermain,negative
perbaiki foto album masa relog mulu,negative
pembagian tim tidak_adil,negative
bagi tim tidak_adil,negative
permainan tidak_adil,negative
berhadapan dengan tim ampas darksistem,negative
bug jaringan saat bermain game freeze,negative
bug jaringan main game freeze,negative
bug jaringan bikin lag,negative
bug bikin jaringan lag,negative
game bagus tapi lag padahal sinyal hijau,negative
tolong perbaiki sistem matchmaking buruk,negative
sistem matchmaking buruk,negative
sistem matchmaking buruk_sangat,negative
jaringan sudah 5G tapi masi lag,negative
jaringan 5G in game lag,negative
jaringan lag tim dark sistem,negative
jaringan lag dapat tim dark system,negative
saya udah stress jadi saya memutuskan pindah game,negative
setres pindah permainan,negative
setres pindah game,negative
saya sudah strees putus pindah game,negative
dark system buat pengalaman bermain buruk,negative
darksistem buat game rusak,negative
pemain banyak troll,negative
banyak player suka_troll,negative
kasih tim suka ngetroll,negative
moonton asu game sempak,negative
permainan tidak_menarik,negative
tambah parah gamenya,negative
makin buruk gamenya,negative
game makin buruk,negative
game makin berantakan,negative
game tambah rusak,negative
game makin rusak,negative
game rusak,negative
sinyal bagus tapi pingnya merah ngelag,negative
ping merah,negative
tidak_dengar,negative
udah bosan ngetik masalah game gak_pernah dengar,negative
tidak_tanggapi masukan,negative
tidak_tangapi,negative
muak kebanyakan bug, negative
banyak bug,negative
main dapat tim beban kalah,negative
sistem baru buruk,negative
dapat tim beban tiap main,negative
update buruk,negative
sistem zona line krusial buruk,negative
Sistem Zona Line buruk,negative
hapus sistem zona line,negative
sistem zona line perburuk gameplay,negative
sistem zona line tidak_guna,negative
koneksi buruk saat bertemu lawan,negative
koneksi buruk saat tim fight,negative
banyak bug koneksi,negative
dikasih tim jelek,negative
banyak hero tidak_bisa gunakan,negative
habis update malah jadi tidak responsif tombol dan kursor arahnya,negative
responsif kursor lambat,negative
banyak player akan pindah,negative
login lambat,negative
grafik buat lag,negative
tampilan grafik bikin koneksi buruk,negative
ping hijau freze,negative
game berat jaringan freze,negative
game berat jaringan buruk,negative
game berat jaringan lag,negative
tiap login jaringan buruk,negative
game busuk banyak bug,negative
tampilan animasi lama,negative
game busuk,negative
koneksi_baik tapi lag,negative
main solo dapat tim gak_jelas,negative
koneksi server buruk,negative
dulu lancar sekarang aneh,negative
makin kesini makin aneh,negative
respon game lambar,negative
koneksi bagus respon lambat,negative
pembagian role sistem matchmaking sangat payah,negative
sistem matchmaking payah,negative
sistem matchmaking buruk,negative
ping naik turun,negative
buat pengalaman bermain turun,negative
dapat tim bot,negative
sinyak buruk gk_bisa gerak,negative
sinyak buruk gak_bisa gerak,negative
sinyak buruk ga_bisa gerak,negative
sinyak buruk tidak_bisa gerak,negative
jaringan buruk gk_bisa gerak,negative
jaringan buruk gak_bisa gerak,negative
jaringan buruk ga_bisa gerak,negative
jaringan buruk tidak_bisa gerak,negative
tim fight jaringan hilang,negative
lag saat fight,negative
makin kesini makin jelek,negative
jaringan error kena sangsi,negative
koneksi buruk kena sangsi afk,negative
lane kacau campur dengan cheater,negative
makin kemari makin rusak,negative
game gajelas,negative
game ga jelas,negative
game gk jelas,negative
game gak jelas,negative
permainan tidak jelas,negative
permainan gajelas,negative
permainan ga jelas,negative
permainan gk jelas,negative
permainan gak jelas,negative
menang susah tim jelek,negative
victory tidak tercatat di history,negative
koneksi buruk ping tidak_stabil stag in game,negative
tambah hancur,negative
tambah busuk,negative
map ngefrezz,negative
server dan jaringan payah,negative
server koneksi payah,negative
koneksi server buruk pemain afk,negative
selalu dapat tim beban,negative
pembagian tim tidak_seimbang,negative
pembagian tim tdk_seimbang,negative
pembagian tim gk_seimbang,negative
pembagian tim ga_seimbang,negative
pembagian tim gak_seimbang,
ga_adil,negative
gk_adil,negative
gak_adil,negative
tidak_adil,negative
pengalaman bermain sangat buruk,negative
sistem pilih lane tidak_bagus,negative
bug sinyal,negative
bug koneksi,negative
bug jaringan,negative
game banyak bug uninstall,negative
mengurangi minat player,negative
makin lama makin jelek,negative
tidak_bisa masuk game,negative
ga_bisa masuk game,negative
gk_bisa masuk game,negative
gak_bisa masuk game,negative
tidak_bisa login,negative
paikai cheat,negative
player ngecheat,negative
banyak cheater,negative
patch sangat mengecawakan,negative


gameplay menarik,non-negative
hero beragam,non-negative
game seru bikin ketagihan,non-negative
sistem report diperketat jadi santai dan fun,non-negative
hero sangat bagus skin juga bagus,non-negative
,non-negative
,non-negative